subid, subage, version, counter, mod, targetname, response, chosetarget, targetname,modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside 
0,0,v3,1,new,blicket,no,true,blicket,new,7/19/2019,9:46,3899,1,left,left
0,0,v3,2,new,sprock,yes,true,sprock,new,7/19/2019,9:46,3712,2,right,right
subid, subage, version, counter, mod, targetname, response, chosetarget, targetname,modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside 
0,0,v3,1,,zorp,yes,true,zorp,nomodifier,7/19/2019,9:50,2824,2,right,right
0,0,v3,2,new,gade,yes,true,gade,new,7/19/2019,9:50,3784,2,right,right
0,0,v3,3,new,sprock,yes,true,sprock,new,7/19/2019,9:50,4209,1,left,left
0,0,v3,4,new,koba,no,true,koba,new,7/19/2019,9:50,3588,1,left,left
0,0,v3,5,new,blicket,no,true,blicket,new,7/19/2019,9:50,4050,1,left,left
0,0,v3,6,,toma,no,false,toma,nomodifier,7/19/2019,9:50,2694,1,left,right
0,0,v3,7,,boti,no,true,boti,nomodifier,7/19/2019,9:50,1997,2,right,right
0,0,v3,8,,wug,yes,true,wug,nomodifier,7/19/2019,9:50,2413,1,left,left
subid, subage, version, counter, mod, targetname, response, chosetarget, targetname,modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside 
subid, subage, version, counter, mod, targetname, response, chosetarget, targetname,modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside 
subid, subage, version, counter, mod, targetname, response, chosetarget, targetname,modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside 
0,0,v2,1,,gade,yes,true,gade,nomodifier,7/19/2019,9:53,2999,1,left,left
0,0,v2,2,,sprock,yes,true,sprock,nomodifier,7/19/2019,9:53,3147,1,left,left
subid, subage, version, counter, mod, targetname, response, chosetarget, targetname,modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside 
0,0,v1,1,,boti,yes,true,boti,nomodifier,7/19/2019,10:05,2195,1,left,left
0,0,v1,2,,zorp,no,true,zorp,nomodifier,7/19/2019,10:05,2052,2,right,right
0,0,v1,3,new,sprock,no,true,sprock,new,7/19/2019,10:05,2714,1,left,left
0,0,v1,4,,wug,no,true,wug,nomodifier,7/19/2019,10:05,11062,1,left,left
0,0,v1,5,,toma,yes,true,toma,nomodifier,7/19/2019,10:05,2013,2,right,right
0,0,v1,6,new,blicket,yes,true,blicket,new,7/19/2019,10:05,3142,1,left,left
0,0,v1,7,new,gade,no,true,gade,new,7/19/2019,10:05,3683,2,right,right
0,0,v1,8,new,koba,yes,true,koba,new,7/19/2019,10:05,2814,1,left,left
0,0,v2,1,new,boti,no,true,boti,new,7/19/2019,9:52,980206,1,left,left
subid, subage, version, counter, mod, targetname, response, chosetarget, targetname,modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside 
subid, subage, version, counter, mod, targetname, response, chosetarget, targetname,modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside 
0,0,v1,1,,toma,yes,true,toma,nomodifier,7/19/2019,10:09,2434,1,left,left
0,0,v1,2,new,sprock,no,true,sprock,new,7/19/2019,10:09,2786,1,left,left
subid, subage, version, counter, mod, targetname, response, chosetarget, targetname,modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside 
subid, subage, version, counter, mod, targetname, response, chosetarget, targetname,modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside 
subid, subage, version, counter, mod, targetname, response, chosetarget, targetname,modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside 
0,0,v2,1,new,wug,yes,true,wug,new,7/19/2019,10:13,3759,2,right,right
0,0,v2,2,new,toma,no,true,toma,new,7/19/2019,10:13,2358,2,right,right
subid, subage, version, counter, mod, targetname, response, chosetarget, targetname,modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside 
0,0,v3,1,new,sprock,yes,true,sprock,new,7/19/2019,10:16,3734,1,left,left
subid, subage, version, counter, mod, targetname, response, chosetarget, targetname,modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside 
0,0,v1,1,,zorp,no,true,zorp,nomodifier,7/19/2019,10:17,2483,2,right,right
0,0,v1,2,new,blicket,yes,true,blicket,new,7/19/2019,10:17,4260,1,left,left
0,0,v1,3,,boti,yes,true,boti,nomodifier,7/19/2019,10:17,3391,1,left,left
0,0,v1,4,new,sprock,no,true,sprock,new,7/19/2019,10:17,5024,2,right,right
0,0,v1,5,new,koba,yes,true,koba,new,7/19/2019,10:17,2459,2,right,right
0,0,v1,6,,toma,yes,true,toma,nomodifier,7/19/2019,10:17,888,2,right,right
0,0,v1,7,,wug,no,true,wug,nomodifier,7/19/2019,10:17,2455,1,left,left
0,0,v1,8,new,gade,no,true,gade,new,7/19/2019,10:17,3350,2,right,right
subid, subage, version, counter, mod, targetname, response, chosetarget, targetname,modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside 
0,0,v2,1,,blicket,no,true,blicket,nomodifier,7/19/2019,10:20,3247,2,right,right
0,0,v2,2,,gade,yes,true,gade,nomodifier,7/19/2019,10:20,3755,2,right,right
0,0,v2,3,new,wug,yes,true,wug,new,7/19/2019,10:20,2083,2,right,right
0,0,v2,4,new,toma,no,true,toma,new,7/19/2019,10:20,2366,2,right,right
0,0,v2,5,new,zorp,yes,true,zorp,new,7/19/2019,10:20,1965,2,right,right
0,0,v2,6,new,boti,no,true,boti,new,7/19/2019,10:20,1787,1,left,left
0,0,v2,7,,sprock,yes,true,sprock,nomodifier,7/19/2019,10:20,3076,1,left,left
0,0,v2,8,,koba,no,true,koba,nomodifier,7/19/2019,10:20,2211,1,left,left
subid, subage, version, counter, mod, targetname, response, chosetarget, targetname,modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside 
0,0,v1,1,new,sprock,no,false,sprock,new,7/19/2019,10:44,3101,2,right,left
0,0,v1,2,,boti,yes,true,boti,nomodifier,7/19/2019,10:44,1546,1,left,left
subid, subage, version, counter, mod, targetname, response, chosetarget, targetname,modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside 
0,0,v2,2,new,toma,no,false,toma,new,7/23/2019,10:15,2334,2,right,left
0,0,v2,3,,sprock,yes,false,sprock,nomodifier,7/23/2019,10:15,1382,2,right,left
0,0,v2,4,new,wug,yes,true,wug,new,7/23/2019,10:15,4900,1,left,left
0,0,v2,5,,gade,yes,true,gade,nomodifier,7/23/2019,10:15,1437,1,left,left
0,0,v2,6,new,zorp,yes,false,zorp,new,7/23/2019,10:15,1341,2,right,left
0,0,v2,7,,koba,no,false,koba,nomodifier,7/23/2019,10:15,1094,2,right,left
0,0,v2,8,new,boti,no,true,boti,new,7/23/2019,10:15,1436,2,right,right
subid, subage, version, counter, mod, targetname, response, chosetarget, targetname,modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside 
0,0,v3,1,,wug,yes,true,wug,nomodifier,7/23/2019,10:17,8923,2,right,right
0,0,v3,2,new,sprock,yes,true,sprock,new,7/23/2019,10:17,7647,1,left,left
0,0,v3,3,new,blicket,no,true,blicket,new,7/23/2019,10:17,9865,1,left,left
subid, subage, version, counter, mod, targetname, response, chosetarget, targetname,modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside 
0,0,v3,4,,toma,no,false,toma,nomodifier,7/23/2019,10:17,13228,1,left,right
0,0,v2,1,new,toma,no,false,toma,new,7/23/2019,10:18,6687,1,left,right
0,0,v3,5,new,gade,yes,false,gade,new,7/23/2019,10:17,6558,2,right,left
0,0,v2,2,,sprock,yes,false,sprock,nomodifier,7/23/2019,10:18,16542,2,right,left
0,0,v3,6,,boti,no,false,boti,nomodifier,7/23/2019,10:17,8269,2,right,left
0,0,v2,3,new,wug,yes,true,wug,new,7/23/2019,10:18,5589,2,right,right
0,0,v3,7,,zorp,yes,true,zorp,nomodifier,7/23/2019,10:17,3709,1,left,left
0,0,v2,4,,blicket,no,true,blicket,nomodifier,7/23/2019,10:18,4273,1,left,left
0,0,v2,5,new,boti,no,false,boti,new,7/23/2019,10:18,1269,2,right,left
0,0,v3,8,new,koba,no,false,koba,new,7/23/2019,10:17,14711,1,left,right
0,0,v2,6,,gade,yes,false,gade,nomodifier,7/23/2019,10:18,1399,2,right,left
0,0,v2,7,,koba,no,false,koba,nomodifier,7/23/2019,10:18,1215,2,right,left
0,0,v2,8,new,zorp,yes,false,zorp,new,7/23/2019,10:18,1345,2,right,left
subid, subage, version, counter, mod, targetname, response, chosetarget, targetname,modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside 
0,0,v3,1,,toma,no,true,toma,nomodifier,7/23/2019,10:21,4695,2,right,right
0,0,v3,2,new,sprock,yes,true,sprock,new,7/23/2019,10:21,23680,1,left,left
0,0,v3,3,new,blicket,no,true,blicket,new,7/23/2019,10:21,8277,2,right,right
0,0,v3,4,,wug,yes,false,wug,nomodifier,7/23/2019,10:21,61548,2,right,left
0,0,v3,6,new,gade,yes,true,gade,new,7/23/2019,10:21,4598,2,right,right
0,0,v3,7,,boti,no,false,boti,nomodifier,7/23/2019,10:21,2211,1,left,right
0,0,v3,8,,zorp,yes,true,zorp,nomodifier,7/23/2019,10:21,1251,2,right,right
subid, subage, version, counter, mod, targetname, response, chosetarget, targetname,modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside 
36,4,v3,1,,wug,yes,true,wug,nomodifier,7/23/2019,10:57,7025,1,left,left
36,4,v3,2,new,sprock,yes,true,sprock,new,7/23/2019,10:57,4474,2,right,right
36,4,v3,3,new,blicket,no,true,blicket,new,7/23/2019,10:57,4386,2,right,right
36,4,v3,4,,toma,no,true,toma,nomodifier,7/23/2019,10:57,3785,2,right,right
36,4,v3,5,new,gade,yes,false,gade,new,7/23/2019,10:57,4928,1,left,right
36,4,v3,6,new,koba,no,true,koba,new,7/23/2019,10:57,4051,2,right,right
36,4,v3,7,,boti,no,true,boti,nomodifier,7/23/2019,10:57,2551,1,left,left
36,4,v3,8,,zorp,yes,true,zorp,nomodifier,7/23/2019,10:57,2321,2,right,right
subid, subage, version, counter, mod, targetname, response, chosetarget, targetname,modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside 
37,3,v2,1,new,wug,yes,true,wug,new,7/23/2019,11:03,7325,1,left,left
37,3,v2,2,new,toma,no,true,toma,new,7/23/2019,11:03,9617,1,left,left
37,3,v2,3,,sprock,yes,true,sprock,nomodifier,7/23/2019,11:03,3307,1,left,left
37,3,v2,4,,blicket,no,true,blicket,nomodifier,7/23/2019,11:03,6871,2,right,right
37,3,v2,5,,gade,yes,false,gade,nomodifier,7/23/2019,11:03,22102,1,left,right
37,3,v2,6,,koba,no,true,koba,nomodifier,7/23/2019,11:03,2900,1,left,left
37,3,v2,7,new,boti,no,true,boti,new,7/23/2019,11:03,8999,1,left,left
37,3,v2,8,new,zorp,yes,true,zorp,new,7/23/2019,11:03,5655,1,left,left
subid, subage, version, counter, mod, targetname, response, chosetarget, targetname,modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside 
38,6,v2,1,,sprock,yes,true,sprock,nomodifier,7/23/2019,11:49,5556,2,right,right
38,6,v2,2,new,wug,yes,true,wug,new,7/23/2019,11:49,2739,2,right,right
38,6,v2,3,,blicket,no,false,blicket,nomodifier,7/23/2019,11:49,6221,1,left,right
38,6,v2,4,new,toma,no,false,toma,new,7/23/2019,11:49,5393,1,left,right
38,6,v2,5,,gade,yes,true,gade,nomodifier,7/23/2019,11:49,3926,1,left,left
38,6,v2,6,new,boti,no,false,boti,new,7/23/2019,11:49,4929,1,left,right
38,6,v2,7,new,zorp,yes,true,zorp,new,7/23/2019,11:49,2621,2,right,right
38,6,v2,8,,koba,no,false,koba,nomodifier,7/23/2019,11:49,2407,2,right,left
subid, subage, version, counter, mod, targetname, response, chosetarget, targetname,modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside 
39,6,v2,1,,blicket,no,true,blicket,nomodifier,7/23/2019,12:15,29729,1,left,left
39,6,v2,2,new,toma,no,true,toma,new,7/23/2019,12:15,5428,2,right,right
39,6,v2,3,,sprock,yes,true,sprock,nomodifier,7/23/2019,12:15,3258,2,right,right
subid, subage, version, counter, mod, targetname, response, chosetarget, targetname,modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside 
40,4,v3,1,,toma,no,true,toma,nomodifier,7/23/2019,12:45,4279,2,right,right
39,6,v2,4,new,wug,yes,false,wug,new,7/23/2019,12:15,10321,2,right,left
40,4,v3,2,,wug,yes,true,wug,nomodifier,7/23/2019,12:45,2710,1,left,left
39,6,v2,5,new,zorp,yes,true,zorp,new,7/23/2019,12:15,3140,2,right,right
40,4,v3,3,new,blicket,no,true,blicket,new,7/23/2019,12:45,3266,2,right,right
40,4,v3,4,new,sprock,yes,true,sprock,new,7/23/2019,12:45,11954,2,right,right
39,6,v2,7,new,boti,no,true,boti,new,7/23/2019,12:15,15522,2,right,right
40,4,v3,5,new,koba,no,true,koba,new,7/23/2019,12:45,2832,2,right,right
40,4,v3,6,,zorp,yes,true,zorp,nomodifier,7/23/2019,12:45,6954,2,right,right
39,6,v2,8,,gade,yes,true,gade,nomodifier,7/23/2019,12:15,3924,2,right,right
40,4,v3,7,,boti,no,true,boti,nomodifier,7/23/2019,12:45,14527,2,right,right
40,4,v3,8,new,gade,yes,true,gade,new,7/23/2019,12:45,3598,2,right,right
subid, subage, version, counter, mod, targetname, response, chosetarget, targetname,modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside 
00,0,v3,1,new,sprock,yes,true,sprock,new,7/23/2019,12:51,2621,1,left,left
00,0,v3,2,new,blicket,no,false,blicket,new,7/23/2019,12:51,1877,2,right,left
00,0,v3,3,,toma,no,false,toma,nomodifier,7/23/2019,12:51,3391,1,left,right
00,0,v3,4,,wug,yes,true,wug,nomodifier,7/23/2019,12:51,2894,2,right,right
00,0,v3,5,new,gade,yes,true,gade,new,7/23/2019,12:51,2977,1,left,left
00,0,v3,6,new,koba,no,false,koba,new,7/23/2019,12:51,3290,1,left,right
00,0,v3,7,,boti,no,false,boti,nomodifier,7/23/2019,12:51,1734,1,left,right
00,0,v3,8,,zorp,yes,true,zorp,nomodifier,7/23/2019,12:51,1225,2,right,right
subid, subage, version, counter, mod, targetname, response, chosetarget, targetname,modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside 
41,6,v4,1,new,toma,yes,true,toma,new,7/23/2019,12:51,6096,2,right,right
41,6,v4,2,,gade,no,true,gade,nomodifier,7/23/2019,12:51,8407,2,right,right
41,6,v4,3,new,wug,no,true,wug,new,7/23/2019,12:51,4960,1,left,left
41,6,v4,4,,koba,yes,true,koba,nomodifier,7/23/2019,12:51,2473,2,right,right
41,6,v4,5,,sprock,no,true,sprock,nomodifier,7/23/2019,12:51,1515,2,right,right
41,6,v4,6,,blicket,yes,true,blicket,nomodifier,7/23/2019,12:51,2480,1,left,left
41,6,v4,7,new,zorp,no,true,zorp,new,7/23/2019,12:51,2611,1,left,left
41,6,v4,8,new,boti,yes,true,boti,new,7/23/2019,12:51,1747,1,left,left
subid, subage, version, counter, mod, targetname, response, chosetarget, targetname,modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside 
subid, subage, version, counter, mod, targetname, response, chosetarget, targetname,modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside 
41,5,v2,1,,blicket,no,true,blicket,nomodifier,7/23/2019,13:09,5159,2,right,right
41,5,v2,2,,sprock,yes,true,sprock,nomodifier,7/23/2019,13:09,2275,2,right,right
41,5,v2,3,new,wug,yes,true,wug,new,7/23/2019,13:09,5794,2,right,right
41,5,v2,4,new,toma,no,true,toma,new,7/23/2019,13:09,3395,2,right,right
41,5,v2,5,,gade,yes,true,gade,nomodifier,7/23/2019,13:09,5349,2,right,right
41,5,v2,6,new,boti,no,true,boti,new,7/23/2019,13:09,2859,1,left,left
41,5,v2,7,,koba,no,true,koba,nomodifier,7/23/2019,13:09,2642,2,right,right
41,5,v2,8,new,zorp,yes,true,zorp,new,7/23/2019,13:09,3209,1,left,left
subid, subage, version, counter, mod, targetname, response, chosetarget, targetname,modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside 
42,4,v2,1,,sprock,yes,false,sprock,nomodifier,7/23/2019,13:32,5955,2,right,left
42,4,v2,2,new,toma,no,true,toma,new,7/23/2019,13:32,6989,2,right,right
42,4,v2,3,new,wug,yes,true,wug,new,7/23/2019,13:32,5069,2,right,right
42,4,v2,4,,blicket,no,false,blicket,nomodifier,7/23/2019,13:32,4074,2,right,left
42,4,v2,5,new,boti,no,false,boti,new,7/23/2019,13:32,3985,1,left,right
42,4,v2,6,new,zorp,yes,true,zorp,new,7/23/2019,13:32,4216,2,right,right
42,4,v2,7,,koba,no,false,koba,nomodifier,7/23/2019,13:32,7132,1,left,right
42,4,v2,8,,gade,yes,true,gade,nomodifier,7/23/2019,13:32,7943,1,left,left
subid, subage, version, counter, mod, targetname, response, chosetarget, targetname,modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside 
44,5,v2,1,new,wug,yes,false,wug,new,7/23/2019,14:06,8169,2,right,left
44,5,v2,2,new,toma,no,true,toma,new,7/23/2019,14:06,3236,2,right,right
44,5,v2,3,,blicket,no,false,blicket,nomodifier,7/23/2019,14:06,4812,1,left,right
44,5,v2,4,,sprock,yes,true,sprock,nomodifier,7/23/2019,14:06,8249,2,right,right
44,5,v2,5,new,boti,no,true,boti,new,7/23/2019,14:06,3024,2,right,right
44,5,v2,6,new,zorp,yes,true,zorp,new,7/23/2019,14:06,2207,2,right,right
44,5,v2,7,,koba,no,true,koba,nomodifier,7/23/2019,14:06,2260,1,left,left
44,5,v2,8,,gade,yes,true,gade,nomodifier,7/23/2019,14:06,3466,2,right,right
subid, subage, version, counter, mod, targetname, response, chosetarget, targetname,modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside 
0,0,v3,1,new,sprock,yes,false,sprock,new,7/23/2019,15:45,1459,2,right,left
subid, subage, version, counter, mod, targetname, response, chosetarget, targetname,modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside 
50,5,v1,1,,boti,yes,true,boti,nomodifier,7/23/2019,15:48,4647,2,right,right
50,5,v1,2,new,blicket,yes,true,blicket,new,7/23/2019,15:48,3573,1,left,left
50,5,v1,3,,zorp,no,false,zorp,nomodifier,7/23/2019,15:48,3014,2,right,left
