subid, subage, version, counter, mod, targetname, response, chosetarget, targetnamecheck, modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside,sidesmatchorder,targetnamefirst,distractorname 
0,0,undefined,1,,blicket,no,true,blicket,nomodifier,12/3/2019,0:40,8012,1,left,left,false,false,
0,0,undefined,2,new,wug,yes,true,wug,new,12/3/2019,0:40,7121,2,right,right,false,true,
0,0,undefined,3,new,toma,no,true,toma,new,12/3/2019,0:40,7063,2,right,right,true,false,
0,0,undefined,4,,sprock,yes,true,sprock,nomodifier,12/3/2019,0:40,6909,1,left,left,true,true,
subid, subage, version, counter, mod, targetname, response, chosetarget, targetnamecheck, modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside,sidesmatchorder,targetnamefirst,distractorname 
0,0,undefined,1,new,toma,no,false,toma,new,12/3/2019,0:45,4911,2,right,left,true,false,boti
0,0,undefined,2,new,wug,yes,false,wug,new,12/3/2019,0:45,2474,2,right,left,false,true,zorp
0,0,undefined,3,,sprock,yes,true,sprock,nomodifier,12/3/2019,0:45,8302,1,left,left,false,false,gade
0,0,undefined,4,,blicket,no,false,blicket,nomodifier,12/3/2019,0:45,37887,1,left,right,true,true,koba
subid, subage, version, counter, mod, targetname, response, chosetarget, targetnamecheck, modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside,sidesmatchorder,targetnamefirst,distractorname 
0,0,undefined,1,,sprock,no,true,sprock,nomodifier,12/3/2019,0:48,4755,2,right,right,false,true,gade
0,0,undefined,2,new,boti,yes,true,boti,new,12/3/2019,0:48,4572,1,left,left,true,true,toma
0,0,undefined,3,,blicket,yes,true,blicket,nomodifier,12/3/2019,0:48,14380,1,left,left,false,false,koba
0,0,undefined,4,new,zorp,no,true,zorp,new,12/3/2019,0:48,7842,2,right,right,true,false,wug
subid, subage, version, counter, mod, targetname, response, chosetarget, targetnamecheck, modifier, date, timestamp,rtsearch, targetpos,targetside,chosenside,sidesmatchorder,targetnamefirst,distractorname 
0,0,undefined,1,,gade,no,true,gade,nomodifier,12/3/2019,0:49,6352,2,right,right,true,false,sprock
0,0,undefined,2,new,toma,yes,true,toma,new,12/3/2019,0:49,4467,2,right,right,false,true,boti
0,0,undefined,3,new,wug,no,true,wug,new,12/3/2019,0:49,8687,1,left,left,false,false,zorp
